Timestamp,題目類型,題目敘述,A,B,C,D,正確選項
6/9/2019 16:58:31,健康常識,人體中最大的器官為,肝,腦,皮膚,腸,C
6/9/2019 17:07:56,健康常識,維生素分成兩類：水溶性及脂溶性。請問以下分組為對的組合？,脂溶性：A、D、E、K；水溶性：B群、C,脂溶性：A、B群、C、D；水溶性：E、K,脂溶性：E、K；水溶性：A、B群、C、D,脂溶性：B群、C；水溶性：A、D、E、K,A
6/9/2019 17:11:12,健康常識,燒燙傷急救步驟順序為何,洗沖罩蓋送,脫沖泡送蓋,吹沖泡蓋送,沖脫泡蓋送,D
6/10/2019 14:08:35,一字千金,綠意ㄤˋ然,盎,,,,選「一字千金」的話請選這個
6/10/2019 14:10:29,一字千金,坐以待ㄅㄧˋ,斃,,,,選「一字千金」的話請選這個
6/10/2019 14:12:04,健康常識,紅血球的壽命長達多久？,10天,60天,90天,120天,D
6/10/2019 14:25:45,英文,Maintainance為何意思,娛樂,維修,鼓勵,痊癒,B
6/10/2019 17:21:33,一字千金,杯水車ㄒㄧㄣ,薪,,,,選「一字千金」的話請選這個
6/10/2019 17:27:50,健康常識,消化系統由上到下的順序為何,口腔、食道、胃、大腸、小腸、直腸、肛門,口腔、胃、食道、小腸、大腸、直腸、肛門,口腔、食道、胃、小腸、大腸、直腸、肛門,肛門、大腸、小腸、食道、胃、口腔、直腸,C
6/10/2019 17:30:13,健康常識,以下哪一組為高鉀食物？,香蕉、楊桃,地瓜葉、高麗菜,蘋果、柳丁,花枝、蝦子,A
6/10/2019 17:32:31,一字千金,心ㄎㄨㄤˋ神怡,曠,,,,選「一字千金」的話請選這個
6/10/2019 20:49:48,國文,"金庸武俠小說裡,擁有""西狂""的外號是下列哪位?",歐陽鋒,洪七公,周伯通,楊過,D
6/10/2019 20:52:20,國文,下列何者不是中國四大小說之一?,三國演義,紅樓夢,西廂記,水滸傳,C
6/10/2019 20:55:36,健康常識,"哈利波特的學校霍格華斯,哪個不是其四個學院的名稱之一?",格蘭芬多,鄧不利多,拉文克勞,斯萊特林,B
6/10/2019 20:58:04,國文,桃花源記的作者為何者?,桃白白,陶子,陶淵明,桃太郎,C
6/10/2019 21:00:12,數學,伊索寓言為哪一個國家的作品?,希臘,奧地利,瑞士,西班牙,A
6/10/2019 21:03:07,國文,"長恨歌中""在天願做比翼鳥,在地願為連理枝""是描敘哪一位情侶?",楊過/小龍女,羅密歐/茱麗葉,唐玄宗/楊貴妃,梁山伯/祝英台,C
6/10/2019 21:06:37,國文,"英國著名戲劇家""威廉·莎士比亞""的作品不包含下列何者?",仲夏夜之夢,哈姆雷特,第十二夜,夏綠蒂的網,D
6/10/2019 21:11:00,一字千金,高{ㄒㄧㄢ}蔬果,纖,,,,A
